# Configuration automatically generated by WRITE_CONFIG()
connection usb
#connection (actual) usb
device t7
#device (actual) t7
name "My_T7_6573"
serial "470026573"
samplehz 50000.000000
settleus 1.000000
nsample 64
dataformat ascii

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

distream 16
# Flexible Input/Output
effrequency 100.000000
efchannel 0
efdirection output
efsignal counter
efedge falling
efusec 1000.000000
efchannel 2
efdirection output
efsignal counter
efusec 1000.000000
# Meta Parameters
meta integer
xn 5
xstep 10
zn 1
zstep 20
meta end

## End Configuration ##
#: Wed Jan 26 13:29:26 2022
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
1.010608e+01	6.553500e+04
